id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.000151,10,0,10,5.071937,8,2,6,2,10,10,2,46,58,58,Inviável
2,0.000090,4,0,4,5.170916,3,2,1,1,15,15,2,169,78,78,Inviável
3,0.000107,5,0,5,6.712778,5,0,5,0,20,20,0,0,116,116,Viável
4,0.000152,5,0,5,9.420621,5,0,5,0,25,25,0,0,136,136,Viável
5,0.000221,10,0,10,14.109071,9,1,8,1,30,30,2,152,174,174,Inviável
6,0.000193,7,0,7,14.984569,6,1,5,1,35,35,3,211,194,194,Inviável
7,0.000398,17,0,17,22.239225,16,1,15,1,40,40,3,58,232,232,Inviável
8,0.000472,21,0,21,26.776621,19,1,18,2,45,45,2,372,252,252,Inviável
9,0.000231,5,0,5,22.689589,5,0,5,0,50,50,0,0,290,290,Viável
10,0.000507,22,0,22,32.888725,21,1,20,1,55,55,3,146,310,310,Inviável
11,0.000334,11,0,11,31.624989,11,0,11,0,60,60,0,0,348,348,Viável
12,0.000622,16,0,16,40.392376,14,2,12,2,65,65,2,12,368,368,Inviável
13,0.000537,19,0,19,42.479244,18,1,17,1,70,70,3,113,406,406,Inviável
14,0.000872,25,0,25,52.914383,23,1,22,2,75,75,3,65,426,426,Inviável
15,0.000410,5,0,5,44.121441,5,0,5,0,80,80,0,0,464,464,Viável
16,0.000979,26,0,26,61.520485,26,0,26,0,85,85,0,0,484,484,Viável
17,0.000524,14,0,14,58.946838,13,1,12,1,90,90,3,7,522,522,Inviável
18,0.001121,32,0,32,76.480675,31,2,29,1,95,95,2,303,542,542,Inviável
19,0.000645,12,0,12,67.256622,12,0,12,0,100,100,0,0,580,580,Viável
20,0.000782,19,0,19,75.063278,19,0,19,0,105,105,0,0,600,600,Viável
21,0.001895,40,0,40,105.254326,39,1,38,1,110,110,3,22,638,638,Inviável
22,0.002117,49,0,49,112.761627,47,1,46,2,115,115,3,118,658,658,Inviável
23,0.001364,32,0,32,106.626328,31,2,29,1,120,120,2,97,696,696,Inviável
24,0.018195,60,0,60,132.780197,59,1,58,1,125,125,3,221,716,716,Inviável
25,0.002377,55,0,55,141.962936,53,1,52,2,130,130,3,59,754,754,Inviável
26,0.008587,60,0,60,156.444183,58,2,56,2,135,135,2,186,774,774,Inviável
27,0.000831,14,0,14,110.073586,13,1,12,1,140,140,2,236,812,812,Inviável
28,0.039960,64,0,64,174.982620,62,2,60,2,145,145,1,223,832,832,Inviável
29,0.003093,56,0,56,166.641754,55,1,54,1,150,150,3,44,870,870,Inviável
30,0.001727,38,0,38,159.626587,36,1,35,1,155,155,3,112,890,890,Inviável
