id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.000535,19,0,19,1.362371,18,1,17,1,30,30,2,65,123,123,Inviável
2,0.000253,12,0,12,1.248964,12,0,12,0,40,40,0,0,164,164,Viável
3,0.000354,14,0,14,1.738698,14,0,14,0,50,50,0,0,205,205,Viável
4,0.000492,19,0,19,2.479058,18,1,17,1,60,60,3,36,246,246,Inviável
5,0.000682,26,0,26,3.054396,25,1,24,1,70,70,3,53,287,287,Inviável
6,0.000395,7,0,7,2.958900,7,0,7,0,80,80,0,0,328,328,Viável
7,0.000644,14,0,14,3.888767,14,0,14,0,90,90,0,0,369,369,Viável
8,0.000885,26,0,26,5.021974,25,1,24,1,100,100,3,3,410,410,Inviável
9,0.000846,24,0,24,5.696308,23,1,22,1,110,110,2,66,451,451,Inviável
10,0.000931,18,0,18,6.187643,17,3,14,1,120,120,1,51,492,492,Inviável
11,0.000837,16,0,16,6.937486,15,1,14,1,130,130,3,97,533,533,Inviável
12,0.001092,19,0,19,7.933256,19,0,19,0,140,140,0,0,574,574,Viável
13,0.001959,42,0,42,10.392345,41,1,40,1,150,150,3,96,615,615,Inviável
14,0.011136,54,0,54,11.988806,54,0,54,0,160,160,0,0,656,656,Viável
15,0.001524,32,0,32,11.072267,32,0,32,0,170,170,0,0,697,697,Viável
16,0.001788,31,0,31,12.264361,30,1,29,1,180,180,3,8,738,738,Inviável
17,0.002720,51,0,51,15.725472,50,2,48,1,190,190,2,58,779,779,Inviável
18,0.029345,66,0,66,18.537588,65,1,64,1,200,200,3,63,820,820,Inviável
19,0.002927,41,0,41,17.714792,41,0,41,0,210,210,0,0,861,861,Viável
20,0.047925,54,0,54,19.905355,53,1,52,1,220,220,3,82,902,902,Inviável
21,0.002134,38,0,38,17.746912,38,0,38,0,230,230,0,0,943,943,Viável
22,0.004331,63,0,63,22.667072,63,0,63,0,240,240,0,0,984,984,Viável
